strain,type,rating,effects_1,effects_2,effects_3,effects_4,effects_5,flavor_1,flavor_2,flavor_3,flavor_4
Harley-Twin,sativa,5,Uplifted,Creative,Energetic,Euphoric,Relaxed,Sweet,,,
Harmonia,indica,4.3,Relaxed,Happy,Uplifted,Focused,Sleepy,Earthy,Sweet,Tropical,
Harmony,hybrid,4.4,Relaxed,Euphoric,Focused,Creative,Happy,Woody,Citrus,Lemon,
Harry-Potter,hybrid,4.8,Relaxed,Happy,Uplifted,Creative,Giggly,Sweet,Citrus,Lemon,
Hash-Plant,indica,4.2,Relaxed,Sleepy,Happy,Euphoric,Hungry,Earthy,Spicy/Herbal,Diesel,
Hashbar-Og,indica,4.5,Euphoric,Happy,Relaxed,Creative,Focused,Skunk,Sweet,Earthy,
Hashberry,indica,4.3,Relaxed,Euphoric,Hungry,Happy,Focused,Berry,Sweet,Mint,
Elvis,hybrid,4.6,Relaxed,Uplifted,Euphoric,Talkative,Sleepy,Sweet,Earthy,Flowery,
Hashplant-Haze,sativa,4.4,Happy,Uplifted,Relaxed,Euphoric,Sleepy,Blueberry,Sweet,Orange,
Hawaii-78,sativa,4.8,Creative,Euphoric,Happy,Relaxed,Sleepy,Pineapple,Sweet,Tropical,
Hawaiian,sativa,4.2,Uplifted,Relaxed,Euphoric,Talkative,Giggly,Sweet,Tropical,Citrus,
Hawaiian-Cookies,hybrid,4.6,Happy,Relaxed,Creative,Energetic,Aroused,Sweet,Citrus,Pineapple,
Emerald-Jack,sativa,4.4,Happy,Uplifted,Euphoric,Energetic,Creative,Earthy,Grape,Pine,
Hawaiian-Delight,indica,3.8,Happy,Relaxed,Aroused,Uplifted,Euphoric,Pungent,Sweet,Diesel,
Hawaiian-Diesel,sativa,4.2,Uplifted,Creative,Euphoric,Happy,Relaxed,Diesel,Citrus,Tropical,
Emerald-Og,indica,4.7,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Earthy,Citrus,Woody,
Hawaiian-Dream,sativa,4.4,Uplifted,Relaxed,Happy,Focused,Euphoric,Sweet,Tropical,Pineapple,
Emperor-Cookie-Dough,hybrid,4.9,Uplifted,Relaxed,Euphoric,Giggly,Happy,Sweet,Citrus,Diesel,
Hawaiian-Fire,hybrid,4.4,Energetic,Focused,Talkative,Euphoric,Uplifted,Tropical,Sweet,Strawberry,
Hawaiian-Haze,sativa,4.4,Uplifted,Happy,Energetic,Talkative,Relaxed,Sweet,Tropical,Pineapple,
Cbd-Critical-Mass,indica,4.6,Relaxed,Happy,Sleepy,Hungry,Uplifted,Earthy,Pungent,Menthol,
Cbd-Kush,hybrid,4.5,Relaxed,Happy,Focused,Uplifted,Euphoric,Earthy,Woody,Spicy/Herbal,
Cbd-Lilly,sativa,4.5,Focused,Happy,Sleepy,Energetic,Euphoric,Citrus,,,
Cbd-Mango-Haze,sativa,4.4,Focused,Relaxed,Uplifted,Energetic,Euphoric,Mango,Tropical,Flowery,
Cbd-Ox,indica,5,Aroused,Sleepy,Happy,Euphoric,Hungry,Sweet,Berry,Flowery,
Cbd-Rich-Blessing,sativa,0,None,,,,,None,,,
Cbd-Shark,indica,4.5,Relaxed,Tingly,Happy,Sleepy,Euphoric,Pungent,Nutty,Earthy,
Cello-Sweet-Og,hybrid,4,Sleepy,Relaxed,Uplifted,Creative,Euphoric,Sweet,Spicy/Herbal,Pineapple,
Central-American,sativa,4,Relaxed,Euphoric,Happy,Hungry,,Earthy,Diesel,Sweet,
Cerebro-Haze,sativa,4.2,Uplifted,Happy,Relaxed,Creative,Energetic,Pepper,Citrus,Vanilla,
Endless-Sky,indica,4.5,Euphoric,Relaxed,Happy,Sleepy,Hungry,Berry,Sweet,Butter,
Hawaiian-Mayan-Gold,sativa,5,Uplifted,Creative,Energetic,Euphoric,Happy,Minty,Sweet,Lime,
Enemy-Of-The-State,indica,4.1,Euphoric,Aroused,Focused,Tingly,Giggly,Spicy/Herbal,Tree,Fruit,Earthy
Hawaiian-Punch,sativa,4.4,Uplifted,Happy,Relaxed,Euphoric,Tingly,Sweet,Citrus,Berry,
Enigma,indica,4.6,Relaxed,Happy,Sleepy,Giggly,Euphoric,Citrus,Pungent,Flowery,
Hawaiian-Purple-Kush,indica,4.5,Relaxed,Happy,Giggly,Creative,Talkative,Tropical,Sweet,Flowery,
Hawaiian-Sativa,sativa,4.2,Uplifted,Euphoric,Happy,Relaxed,Creative,Citrus,Sweet,Tropical,
Hawaiian-Skunk,hybrid,4.2,Sleepy,Happy,Euphoric,Uplifted,Energetic,Sweet,Earthy,Skunk,
Hawaiian-Snow,sativa,4.5,Happy,Creative,Euphoric,Uplifted,Energetic,Tropical,Earthy,Woody,
Eran-Almog,indica,4.3,Relaxed,Euphoric,Happy,Sleepy,Uplifted,Earthy,Citrus,Woody,
Hawaiian-Sunrise,hybrid,4.1,Uplifted,Happy,Relaxed,Tingly,Energetic,Citrus,Lemon,Spicy/Herbal,
Erdpurt,indica,0,None,,,,,None,,,
Hawaiian-Thunder-Fuck,hybrid,4,Uplifted,Creative,Euphoric,Energetic,Hungry,Earthy,Sweet,Citrus,
Erez,indica,4.3,Relaxed,Happy,Sleepy,Euphoric,Tingly,Flowery,Berry,Blueberry,
Hawaiian-Trinity,hybrid,5,Talkative,Uplifted,Creative,Euphoric,Focused,Sweet,Tropical,Flowery,
Ether,indica,3.5,Sleepy,Uplifted,Euphoric,Happy,Hungry,,,,
Hayleys-Haze,sativa,0,Sleepy,Uplifted,Focused,,,Apple,,,
Ethiopian,sativa,3,Hungry,,,,,Coffee,,,
Haze,sativa,4.2,Uplifted,Happy,Creative,Tingly,Relaxed,Earthy,Pungent,Sweet,
Eugene-Cream,hybrid,4.6,Relaxed,Sleepy,Tingly,Creative,Euphoric,Sweet,Earthy,Butter,
Haze-Berry,sativa,4.2,Talkative,Aroused,Giggly,Happy,Energetic,Sweet,Berry,Blueberry,
