id,name,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbn,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
337,Querkle,Hybrid,"386, 333",TGA Seeds,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Depression","Sweet, Earthy, Berry",,,127,,,0,,0,,,,,,,,
338,Raspberry Kush,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Pain, Lack of Appetite, Muscle Spasms","Berry, Sweet","Lake Forest, CA",,1300,,,0,,0,,,,,,,,
339,ReCON,Hybrid,0,DNA Genetics,"Relaxed, Hungry, Sleepy, Happy, Euphoric, Dry Mouth, Anxious, Paranoid","Stress, Insomnia, Nausea, Pain, Lack of Appetite",Sweet,,,127,,,0,,0,,,,,,,,
340,Red Dragon,Hybrid,0,,,,,,,127,,,0,,0,,,,,,,,
341,Red Dwarf,Hybrid,0,Buddha Seeds,"Sleepy, Euphoric, Happy, Relaxed, Talkative, Dry Mouth, Paranoid","Pain, Stress, Depression, Insomnia, Inflammation","Skunk, Earthy",,,0,,,0,,0,,,,,,,,
342,Red Haze,Hybrid,0,Unknown Breeder,"Relaxed, Energetic, Focused, Hungry, Euphoric, Dry Mouth","Stress, Depression, Pain, Insomnia","Sweet, Earthy",,,0,,,0,,0,,,,,,,,
343,Redwood Kush,Hybrid,0,Unknown Breeder,"Euphoric, Relaxed, Uplifted, Happy, Focused, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Depression, Muscle Spasms","Pine, Earthy",,,127,,,0,,0,,,,,,,,
344,Richie Rich,Hybrid,0,,,,,,,0,,,0,,0,,,,,,,,
345,Rocklock,Hybrid,0,DNA Genetics,"Relaxed, Uplifted, Happy, Euphoric, Sleepy, Dry Mouth, Paranoid","Stress, Depression, Muscle Spasms, Inflammation",Earthy,,,0,,,0,,0,,,,,,,,
346,Romping Goddess,Hybrid,0,,,,,,,0,,,0,,0,,,,,,,,
347,Romulan,Hybrid,0,Federation Seed Company,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Muscle Spasms","Earthy, Sweet",,,127,,,20,,10,,,,,,,,
348,Romulan Grapefruit,Hybrid,0,Next Generation Seeds,,,,,,0,,,0,,0,,,,,,,,
349,Root Beer Kush,Hybrid,0,Unknown Breeder,"Relaxed, Uplifted, Energetic, Creative, Dry Mouth, Paranoid","Stress, Depression, Nausea","Sweet, Vanilla",,,0,,,0,,0,,,,,,,,
350,Russian Rocket Fuel,Hybrid,0,Short Stuff,,,,,,0,,,0,,0,,,,,,,,
351,Sage,Hybrid,0,,,,,,,127,,,0,,0,,,,,,,,
352,Sage N Sour,Sativa,0,ThSeeds,"Happy, Focused, Relaxed, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain",Earthy,,,127,,,0,,0,,,,,,,,
353,Satori,Hybrid,0,Mandala Seeds,,,,,,0,,,0,,0,,,,,,,,
354,Seattle Blue,Indica,0,,"Euphoric, Relaxed, Uplifted, Happy, Hungry, Dry Mouth, Anxious, Paranoid","Insomnia, Pain, Lack of Appetite, Depression","Sweet, Blueberry",,,0,,,0,,0,,,,,,,,
355,Sensi Star,Hybrid,0,Paradise Seeds,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Depression, Insomnia, Lack of Appetite","Earthy, Sweet",,,127,,,0,,0,,,,,,,,
356,SFV OG,Hybrid,0,The Cali Connection,,,,"Beckwourth, CA",,1800,,,0,,0,,,,,,,,
357,Shaman,Hybrid,0,Dutch Passion Seed Company,"Uplifted, Focused, Happy, Energetic, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Pain","Sweet, Lemon",,,0,,,0,,0,,,,,,,,
358,Shark Shock,Hybrid,0,Shantibaba,"Relaxed, Euphoric, Focused, Happy, Sleepy, Dry Mouth, Anxious","Pain, Stress, Inflammation, Depression, Muscle Spasms","Earthy, Sweet",,,0,,,0,,0,,,,,,,,
359,Sharks Breath,Hybrid,0,DNA Genetics,,,,,,0,,,0,,0,,,,,,,,
360,Shipwreck,Hybrid,0,Unknown Breeder,,,,,,0,,,0,,0,,,,,,,,
361,Shishkaberry,Indica,0,,"Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Berry, Sweet, Earthy",,,127,,,0,,0,,,,,,,,
362,Shiva Skunk,Hybrid,0,Seed Bank,"Sleepy, Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Lack of Appetite","Skunk, Sweet, Earthy",,,0,,,0,,0,,,,,,,,
363,Shoreline,Hybrid,0,The Devils Harvest,,,,,,0,,,0,,0,,,,,,,,
364,Silver Haze,Hybrid,0,Seed Bank,"Euphoric, Happy, Energetic, Uplifted, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain, Insomnia","Earthy, Sweet","Toluca Lake, CA",,1900,,,0,,0,,,,,,,,
365,Silver Pearl,Hybrid,267370,Seed Bank,,,,,,127,,,0,,0,,,,,,,,
366,Silver Surfer,Hybrid,0,Unknown Breeder,,,,"Topange, CA",,400,,,800,,80000,,,,,,,,
367,Silverback Gorilla,Indica,0,,"Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Muscle Spasms","Pine, Sweet",,,0,,,0,,0,,,,,,,,
368,Skunk #1,Hybrid,10,Sensi Seeds,,,,,,127,,,0,,0,,,,,,,,
369,Skunky Diesel,Hybrid,0,,,,,,,0,,,0,,0,,,,,,,,
370,Skydog,Indica,0,,"Relaxed, Happy, Focused, Sleepy, Uplifted, Dry Mouth","Stress, Pain, Inflammation, Depression, Insomnia",Skunk,,,0,,,0,,0,,,,,,,,
